,Year,Make,Model,Price,Kilometrage,URL
0,2017,Honda,civic,16950,93000,https://www.facebook.com/marketplace/item/1225423208849422/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1,2007,Honda,civic,3900,198000,https://www.facebook.com/marketplace/item/864726025579109/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2,2014,Honda,civic,11950,85000,https://www.facebook.com/marketplace/item/859351212913654/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
3,2012,Honda,civic,9999,107000,https://www.facebook.com/marketplace/item/509367158438827/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
4,2016,Honda,civic,13595,143000,https://www.facebook.com/marketplace/item/895380115950617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
5,2010,Honda,civic,9800,132000,https://www.facebook.com/marketplace/item/1043204740002753/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
6,2019,Honda,civic,16988,125000,https://www.facebook.com/marketplace/item/977003030774199/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
7,2013,Honda,civic,8450,184000,https://www.facebook.com/marketplace/item/2747115708781608/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
8,2014,Honda,civic,11950,116000,https://www.facebook.com/marketplace/item/1533847960848942/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
9,2016,Honda,civic,14995,163000,https://www.facebook.com/marketplace/item/2328111040870546/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
10,2015,Honda,civic,13000,170000,https://www.facebook.com/marketplace/item/502887035482232/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
11,2018,Honda,civic,15995,120000,https://www.facebook.com/marketplace/item/478688788232380/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
12,2012,Honda,civic,14500,163000,https://www.facebook.com/marketplace/item/3860176597559716/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
13,2019,Honda,civic,18950,72000,https://www.facebook.com/marketplace/item/2156449384733402/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
14,2016,Honda,civic,15995,125000,https://www.facebook.com/marketplace/item/2841273996179353/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
15,2018,Honda,civic,18499,89000,https://www.facebook.com/marketplace/item/1624935158293809/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
